Time,Extended reconstructed sea surface temperature
Jan 1854,7.682585
Feb 1854,7.798013
Mar 1854,8.468447
Apr 1854,10.0658
May 1854,8.840645
Jun 1854,11.99873
Jul 1854,13.86106
Aug 1854,13.79358
Sep 1854,13.40161
Oct 1854,11.21517
Nov 1854,10.76805
Dec 1854,10.67244
Jan 1855,9.645623
Feb 1855,9.039241
Mar 1855,10.06907
Apr 1855,10.77335
May 1855,13.04443
Jun 1855,12.79952
Jul 1855,13.99151
Aug 1855,14.7129
Sep 1855,14.75988
Oct 1855,13.2793
Nov 1855,10.65915
Dec 1855,9.493623
Jan 1856,9.212453
Feb 1856,7.796071
Mar 1856,9.015514
Apr 1856,8.774173
May 1856,10.82778
Jun 1856,13.33635
Jul 1856,15.47566
Aug 1856,15.54282
Sep 1856,14.94393
Oct 1856,13.13536
Nov 1856,10.86771
Dec 1856,9.85664
Jan 1857,9.301649
Feb 1857,7.86435
Mar 1857,8.050719
Apr 1857,9.214222
May 1857,11.0239
Jun 1857,13.72006
Jul 1857,15.45872
Aug 1857,15.5896
Sep 1857,15.50707
Oct 1857,13.82551
Nov 1857,11.3128
Dec 1857,9.890417
Jan 1858,7.996969
Feb 1858,7.676538
Mar 1858,8.055758
Apr 1858,9.147552
May 1858,10.39254
Jun 1858,12.09896
Jul 1858,12.06177
Aug 1858,14.792
Sep 1858,13.97804
Oct 1858,12.04047
Nov 1858,9.804884
Dec 1858,7.701182
Jan 1859,6.813706
Feb 1859,7.176781
Mar 1859,7.418427
Apr 1859,7.593889
May 1859,8.687431
Jun 1859,13.297
Jul 1859,15.70169
Aug 1859,13.90731
Sep 1859,14.52939
Oct 1859,12.27245
Nov 1859,10.65683
Dec 1859,8.855173
Jan 1860,7.390638
Feb 1860,8.447887
Mar 1860,8.079887
Apr 1860,8.572642
May 1860,10.28906
Jun 1860,11.44582
Jul 1860,13.05754
Aug 1860,14.31531
Sep 1860,13.51512
Oct 1860,12.05457
Nov 1860,10.43955
Dec 1860,8.512486
Jan 1861,7.692736
Feb 1861,7.31944
Mar 1861,6.643978
Apr 1861,8.47166
May 1861,10.35707
Jun 1861,12.33318
Jul 1861,13.85626
Aug 1861,14.17374
Sep 1861,14.12788
Oct 1861,11.33288
Nov 1861,9.365324
Dec 1861,8.441498
Jan 1862,7.909587
Feb 1862,7.75153
Mar 1862,8.202801
Apr 1862,9.175113
May 1862,10.85022
Jun 1862,12.67616
Jul 1862,14.09724
Aug 1862,14.53735
Sep 1862,12.83779
Oct 1862,11.83593
Nov 1862,10.42745
Dec 1862,10.6005
Jan 1863,9.30039
Feb 1863,8.394726
Mar 1863,8.571482
Apr 1863,9.383027
May 1863,10.91084
Jun 1863,12.61066
Jul 1863,14.07065
Aug 1863,14.65592
Sep 1863,14.06826
Oct 1863,12.3167
Nov 1863,10.4139
Dec 1863,8.939101
Jan 1864,8.048656
Feb 1864,7.757414
Mar 1864,8.014055
Apr 1864,9.097517
May 1864,10.80873
Jun 1864,12.60079
Jul 1864,14.18162
Aug 1864,14.95068
Sep 1864,14.28322
Oct 1864,12.74368
Nov 1864,10.62938
Dec 1864,9.097545
Jan 1865,8.232824
Feb 1865,8.085574
Mar 1865,8.350873
Apr 1865,9.212208
May 1865,10.86584
Jun 1865,12.54358
Jul 1865,13.97464
Aug 1865,14.64974
Sep 1865,14.09242
Oct 1865,12.3215
Nov 1865,10.41023
Dec 1865,8.917379
Jan 1866,8.047276
Feb 1866,7.91618
Mar 1866,8.181162
Apr 1866,9.086063
May 1866,10.77389
Jun 1866,12.56495
Jul 1866,14.01421
Aug 1866,14.63749
Sep 1866,14.0246
Oct 1866,12.22446
Nov 1866,10.33671
Dec 1866,8.898116
Jan 1867,8.185546
Feb 1867,8.038628
Mar 1867,8.365682
Apr 1867,9.273685
May 1867,10.98426
Jun 1867,12.83342
Jul 1867,14.20689
Aug 1867,14.7989
Sep 1867,14.22047
Oct 1867,12.43853
Nov 1867,10.52966
Dec 1867,9.013263
Jan 1868,8.19617
Feb 1868,7.997932
Mar 1868,8.342869
Apr 1868,9.232997
May 1868,10.85544
Jun 1868,12.68135
Jul 1868,14.13658
Aug 1868,14.77916
Sep 1868,14.3209
Oct 1868,12.49286
Nov 1868,10.57505
Dec 1868,9.089069
Jan 1869,8.337141
Feb 1869,8.167753
Mar 1869,8.481376
Apr 1869,9.61307
May 1869,11.54153
Jun 1869,13.19737
Jul 1869,14.52941
Aug 1869,15.02337
Sep 1869,14.56967
Oct 1869,13.06181
Nov 1869,11.07729
Dec 1869,9.748065
Jan 1870,8.888473
Feb 1870,7.782305
Mar 1870,8.131969
Apr 1870,9.002791
May 1870,10.89272
Jun 1870,12.48487
Jul 1870,14.29271
Aug 1870,15.14244
Sep 1870,14.54494
Oct 1870,12.63617
Nov 1870,10.65139
Dec 1870,8.925405
Jan 1871,8.614903
Feb 1871,8.673841
Mar 1871,9.176791
Apr 1871,9.591282
May 1871,10.52986
Jun 1871,12.45263
Jul 1871,13.49693
Aug 1871,13.89309
Sep 1871,12.97512
Oct 1871,11.81688
Nov 1871,10.12788
Dec 1871,8.91854
Jan 1872,8.234226
Feb 1872,8.189022
Mar 1872,8.592876
Apr 1872,9.461507
May 1872,11.17489
Jun 1872,12.86895
Jul 1872,14.00625
Aug 1872,14.60608
Sep 1872,13.90599
Oct 1872,12.26969
Nov 1872,9.292676
Dec 1872,9.368156
Jan 1873,9.078477
Feb 1873,8.107756
Mar 1873,8.223652
Apr 1873,9.313865
May 1873,11.35775
Jun 1873,12.91483
Jul 1873,14.24816
Aug 1873,14.12152
Sep 1873,12.77949
Oct 1873,11.18459
Nov 1873,10.05216
Dec 1873,9.017952
Jan 1874,7.865562
Feb 1874,6.858249
Mar 1874,7.419684
Apr 1874,8.032787
May 1874,10.70654
Jun 1874,12.87259
Jul 1874,14.44147
Aug 1874,15.38496
Sep 1874,15.63497
Oct 1874,16.37217
Nov 1874,13.05655
Dec 1874,8.188344
Jan 1875,7.360887
Feb 1875,7.756229
Mar 1875,8.601365
Apr 1875,9.620801
May 1875,10.38419
Jun 1875,12.01896
Jul 1875,14.22231
Aug 1875,16.00899
Sep 1875,14.26209
Oct 1875,12.28722
Nov 1875,10.13014
Dec 1875,9.502771
Jan 1876,8.028141
Feb 1876,7.399925
Mar 1876,7.989988
Apr 1876,8.301113
May 1876,10.17241
Jun 1876,13.52862
Jul 1876,15.06721
Aug 1876,15.13782
Sep 1876,15.40916
Oct 1876,14.94753
Nov 1876,13.10838
Dec 1876,11.92957
Jan 1877,9.526293
Feb 1877,8.93419
Mar 1877,9.029852
Apr 1877,8.98057
May 1877,10.45873
Jun 1877,11.75235
Jul 1877,13.46813
Aug 1877,14.75993
Sep 1877,15.50426
Oct 1877,13.7621
Nov 1877,12.46396
Dec 1877,10.88018
Jan 1878,10.33989
Feb 1878,10.19993
Mar 1878,9.545009
Apr 1878,9.915622
May 1878,10.99669
Jun 1878,13.14283
Jul 1878,15.1748
Aug 1878,17.20052
Sep 1878,13.70191
Oct 1878,12.18294
Nov 1878,8.007351
Dec 1878,5.947248
Jan 1879,7.093759
Feb 1879,8.031125
Mar 1879,8.90642
Apr 1879,9.962414
May 1879,12.28988
Jun 1879,13.28788
Jul 1879,14.16525
Aug 1879,14.93598
Sep 1879,13.48809
Oct 1879,11.23395
Nov 1879,10.501
Dec 1879,9.245399
Jan 1880,9.169209
Feb 1880,7.668103
Mar 1880,7.032139
Apr 1880,7.970016
May 1880,10.32581
Jun 1880,11.65742
Jul 1880,14.93965
Aug 1880,15.31069
Sep 1880,14.9832
Oct 1880,13.00806
Nov 1880,11.57127
Dec 1880,10.62927
Jan 1881,8.405288
Feb 1881,7.913843
Mar 1881,7.920004
Apr 1881,9.230919
May 1881,11.07321
Jun 1881,11.45092
Jul 1881,13.26347
Aug 1881,14.38339
Sep 1881,14.27102
Oct 1881,11.53886
Nov 1881,9.922075
Dec 1881,10.43061
Jan 1882,8.306981
Feb 1882,7.736977
Mar 1882,7.901423
Apr 1882,8.765894
May 1882,10.14048
Jun 1882,12.49957
Jul 1882,13.21146
Aug 1882,16.63411
Sep 1882,15.31219
Oct 1882,13.03744
Nov 1882,10.83811
Dec 1882,9.427471
Jan 1883,8.239658
Feb 1883,8.665783
Mar 1883,9.22677
Apr 1883,10.46346
May 1883,10.61871
Jun 1883,12.46457
Jul 1883,12.03997
Aug 1883,14.46999
Sep 1883,14.48708
Oct 1883,12.77583
Nov 1883,11.59704
Dec 1883,8.973526
Jan 1884,8.530416
Feb 1884,7.319445
Mar 1884,7.605234
Apr 1884,9.285975
May 1884,11.43067
Jun 1884,13.08778
Jul 1884,15.31856
Aug 1884,17.26114
Sep 1884,16.1862
Oct 1884,13.24049
Nov 1884,13.42878
Dec 1884,10.31919
Jan 1885,8.6474
Feb 1885,8.730708
Mar 1885,9.291781
Apr 1885,10.30277
May 1885,11.69529
Jun 1885,14.39174
Jul 1885,15.38925
Aug 1885,15.29952
Sep 1885,16.02679
Oct 1885,14.48207
Nov 1885,12.04998
Dec 1885,10.01733
Jan 1886,9.168427
Feb 1886,9.396346
Mar 1886,8.168236
Apr 1886,9.452046
May 1886,11.21743
Jun 1886,13.38064
Jul 1886,14.69161
Aug 1886,15.22257
Sep 1886,15.30627
Oct 1886,13.64666
Nov 1886,10.94172
Dec 1886,9.408655
Jan 1887,8.156201
Feb 1887,6.980132
Mar 1887,7.419656
Apr 1887,8.379952
May 1887,10.15652
Jun 1887,12.61332
